name,category_name,subcategory_name,type_name
.NET Assemblies,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Code Analysis (FxCop Analyzers),Information Technology,Software Development Tools,Specialized Skill
.NET Development,Information Technology,Software Development,Specialized Skill
.NET Framework,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 1,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 3,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Framework 4,Information Technology,Microsoft Development Tools,Specialized Skill
.NET MAUI (Multi-Platform App UI),Information Technology,Microsoft Development Tools,Specialized Skill
.NET Micro Framework,Information Technology,Microsoft Development Tools,Specialized Skill
.NET Reflector,Information Technology,Software Development Tools,Specialized Skill
.NET Remoting,Information Technology,Application Programming Interface (API),Specialized Skill
.htaccess Files,Information Technology,Web Design and Development,Specialized Skill
.nettiers,Information Technology,Software Development Tools,Specialized Skill
10 Gigabit Ethernet,Information Technology,Networking Hardware,Specialized Skill
10-Hour OSHA Construction Card,Architecture and Construction,Construction Inspection,Certification
10-Hour OSHA General Industry Card,Public Safety and National Security,Safety and Security,Certification
100-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
1010data,Analysis,Data Analysis,Specialized Skill
10BASE-F (Physical Layer Protocols),Information Technology,Network Protocols,Specialized Skill
10BASE2,Information Technology,Networking Hardware,Specialized Skill
10BASE5,Information Technology,Networking Hardware,Specialized Skill
12 Volt Electricity,"Maintenance, Repair, and Facility Services",Basic Electrical Systems,Specialized Skill
128bit,Information Technology,Software Development,Specialized Skill
12factor,Information Technology,Software Development,Specialized Skill
1Password,Information Technology,Identity and Access Management,Specialized Skill
1st Class Power Engineer Certificate,Architecture and Construction,Electrical Construction,Certification
200-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Transportation Operations,Certification
2020 Design Software,Architecture and Construction,Interior Design,Specialized Skill
25-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
2D Animation,Design,Animation and Game Design,Specialized Skill
2D Computer Graphics,Design,Digital Design,Specialized Skill
2D Computer-Aided Drafting And Design,Engineering,Drafting and Engineering Design,Specialized Skill
2D Game Development,Design,Animation and Game Design,Specialized Skill
2D Gel Analysis Software,Analysis,Data Analysis,Specialized Skill
2D Rendering,Design,Graphic and Visual Design,Specialized Skill
2nd Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
30-Hour MIOSHA Safety Certification,"Law, Regulation, and Compliance",Occupational Health and Safety,Certification
30-Hour OSHA Construction Card,Architecture and Construction,Construction Inspection,Certification
30-Hour OSHA General Industry Card,Public Safety and National Security,Safety and Security,Certification
35 Mm Films,Media and Communications,Photo/Video Production and Technology,Specialized Skill
360 Campaigns,Marketing and Public Relations,Marketing Strategy and Techniques,Specialized Skill
360-Degree Feedback,Business,People Management,Specialized Skill
389 Directory Server (Fedora Project),Information Technology,Identity and Access Management,Specialized Skill
3A Pesticide Applicator License,Environment,Hazardous Materials Management,Certification
3B Pesticide Applicator License,Environment,Hazardous Materials Management,Certification
3COM Certified IP Telephony NBX Expert,Information Technology,Network Protocols,Certification
3COM Certified IP Telephony VCX Expert,Information Technology,Network Protocols,Certification
3CX Phone Systems,Information Technology,Mobile Development,Specialized Skill
3Com Certified Wireless Specialist,Information Technology,Wireless Technologies,Certification
3D Animation,Design,Animation and Game Design,Specialized Skill
3D Art,Design,Art and Illustration,Specialized Skill
3D Assets,Engineering,Drafting and Engineering Design,Specialized Skill
3D Camcorder,Media and Communications,Audio Production and Technology,Specialized Skill
3D Computer Graphics,Design,Digital Design,Specialized Skill
3D Computer Graphics Software,Design,Graphic and Visual Design Software,Specialized Skill
3D Conformal Radiotherapy (3DCRT),Health Care,Oncology,Specialized Skill
3D Game Development,Design,Animation and Game Design,Specialized Skill
3D Graphic Design,Design,Graphic and Visual Design,Specialized Skill
3D Modeling,Engineering,Drafting and Engineering Design,Specialized Skill
3D Modeling Software,Engineering,Drafting and Engineering Design,Specialized Skill
3D Production,Design,Graphic and Visual Design,Specialized Skill
3D Projection,Analysis,Data Visualization,Specialized Skill
3D Reconstruction,Information Technology,Artificial Intelligence and Machine Learning (AI/ML),Specialized Skill
3D Rendering,Design,Digital Design,Specialized Skill
3D Scanning,Engineering,Drafting and Engineering Design,Specialized Skill
3D Surface Modeling,Engineering,Drafting and Engineering Design,Specialized Skill
3D Touch,Information Technology,Mobile Development,Specialized Skill
3D Visualization,Design,Digital Design,Specialized Skill
3DML,Information Technology,Other Programming Languages,Specialized Skill
3DMark (Computer Benchmarking),Information Technology,Computer Hardware,Specialized Skill
3DSlicer,Health Care,Medical Imaging,Specialized Skill
3Dvia Composer,Analysis,Data Visualization,Specialized Skill
3G Welding Certification,Manufacturing and Production,Metal Fabrication,Certification
3GPP (Telecommunication),Information Technology,Wireless Technologies,Specialized Skill
3GPP2 (Telecommunication),Information Technology,Wireless Technologies,Specialized Skill
3M (Software),Health Care,Health Information Management and Medical Records,Specialized Skill
3M Certified,Business,Product Management,Certification
3M Codefinder,Health Care,Health Information Management and Medical Records,Specialized Skill
3M Encoder,Health Care,Medical Billing and Coding,Specialized Skill
3d Engine,Design,Animation and Game Design,Specialized Skill
3d Secure,Finance,Financial Regulation,Specialized Skill
3rd Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
3rd Party Systems Integration,Information Technology,System Design and Implementation,Specialized Skill
401K Plan Administration,Human Resources,Compensation and Benefits,Specialized Skill
409A Valuation,Finance,Financial Analysis,Specialized Skill
4D Modeling (Construction),Engineering,Drafting and Engineering Design,Specialized Skill
4DOS (Command Line Interpreter),Information Technology,Operating Systems,Specialized Skill
4G Welding Certification,Manufacturing and Production,"Welding, Brazing, and Soldering",Certification
4Sight,Business,Business Operations,Specialized Skill
4th Class Power Engineer Certificate,Engineering,Electrical and Computer Engineering,Certification
50-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
500-Ton Master Captain's License,"Transportation, Supply Chain, and Logistics",Sea and Waterway Transportation,Certification
